,total Load,price
863,7.4,4.216666666666667
864,7.4,4.3999999999999995
865,7.4,4.583333333333333
866,7.4,4.766666666666667
867,0.002,4.949999999999999
868,0.002,5.133333333333333
869,0.001,5.316666666666666
870,0.001,5.5
871,0.001,5.683333333333333
872,0.001,5.866666666666666
873,0.001,6.05
874,0.001,6.2333333333333325
875,0.001,6.416666666666666
876,0.001,6.6
877,0.001,6.783333333333333
878,0.001,6.966666666666666
879,0.001,7.1499999999999995
880,7.4,7.333333333333333
881,0.002,7.516666666666666
882,0.002,7.699999999999999
883,0.002,7.883333333333333
884,3.701,8.066666666666666
885,7.4,8.25
886,7.4,8.433333333333334
887,7.4,8.616666666666665
888,7.4,8.799999999999999
889,7.4,8.983333333333333
890,0.002,9.166666666666666
891,0.002,9.35
892,0.002,9.533333333333333
893,0.002,9.716666666666667
894,0.002,9.899999999999999
895,0.002,10.083333333333332
896,0.002,10.266666666666666
897,0.002,10.45
898,0.002,10.633333333333333
899,0.002,10.816666666666666
900,0.002,11.0
901,0.002,11.2
902,0.002,11.4
903,0.002,11.6
904,0.002,11.8
905,0.002,12.0
906,0.002,12.2
907,0.002,12.4
908,0.002,12.6
909,0.002,12.8
910,0.002,13.0
911,0.002,13.2
912,0.002,13.4
913,0.002,13.6
914,0.002,13.8
915,0.002,14.0
916,0.002,14.2
917,0.002,14.4
918,7.4,14.6
919,0.002,14.8
920,0.002,15.0
921,0.002,15.2
922,3.701,15.4
923,7.4,15.600000000000001
924,7.4,15.8
925,7.4,16.0
926,7.4,16.2
927,7.4,16.4
928,0.002,16.6
929,0.002,16.8
930,0.002,17.0
931,0.002,17.2
932,0.002,17.4
933,0.002,17.6
934,0.002,17.8
935,0.002,18.0
936,0.002,18.2
937,0.002,18.4
938,0.002,18.6
939,0.002,18.8
940,0.002,19.0
941,7.4,19.200000000000003
942,0.002,19.4
943,0.002,19.6
944,0.002,19.8
945,3.701,20.0
946,7.4,20.200000000000003
947,7.4,20.4
948,7.4,20.6
949,7.4,20.8
950,7.4,21.0
951,0.002,21.200000000000003
952,0.002,21.4
953,0.002,21.6
954,0.002,21.8
955,0.002,22.0
956,0.002,22.200000000000003
957,0.002,22.4
958,0.002,22.6
959,0.002,22.8
960,0.002,23.0
961,0.002,22.983333333333334
962,0.002,22.966666666666665
963,0.002,22.95
964,0.002,22.933333333333334
965,0.002,22.916666666666668
966,0.002,22.9
967,0.002,22.883333333333333
968,0.002,22.866666666666667
969,0.002,22.85
970,0.002,22.833333333333332
971,0.002,22.816666666666666
972,0.002,22.8
973,0.002,22.783333333333335
974,0.002,22.766666666666666
975,0.002,22.75
976,0.002,22.733333333333334
977,0.002,22.716666666666665
978,0.002,22.7
979,7.4,22.683333333333334
980,0.002,22.666666666666668
981,0.002,22.65
982,0.002,22.633333333333333
983,3.701,22.616666666666667
984,7.4,22.6
985,7.4,22.583333333333332
986,7.4,22.566666666666666
987,7.4,22.55
988,7.4,22.533333333333335
989,0.002,22.516666666666666
990,0.002,22.5
991,0.002,22.483333333333334
992,0.002,22.466666666666665
993,0.002,22.45
994,0.002,22.433333333333334
995,0.002,22.416666666666668
996,0.002,22.4
997,0.002,22.383333333333333
998,0.002,22.366666666666667
999,0.002,22.35
1000,0.002,22.333333333333332
1001,0.002,22.316666666666666
1002,7.4,22.3
1003,0.002,22.283333333333335
1004,0.002,22.266666666666666
1005,0.002,22.25
1006,3.701,22.233333333333334
1007,7.4,22.216666666666665
1008,7.4,22.2
1009,7.4,22.183333333333334
1010,7.4,22.166666666666668
1011,7.4,22.15
1012,0.002,22.133333333333333
1013,0.002,22.116666666666667
1014,0.002,22.1
1015,0.002,22.083333333333332
1016,0.002,22.066666666666666
1017,0.002,22.05
1018,0.002,22.033333333333335
1019,0.002,22.016666666666666
1020,0.002,22.0
1021,0.002,21.983333333333334
1022,0.002,21.966666666666665
1023,0.002,21.95
1024,0.002,21.933333333333334
1025,0.002,21.916666666666668
1026,0.002,21.9
1027,0.002,21.883333333333333
1028,0.002,21.866666666666667
1029,0.002,21.85
1030,0.002,21.833333333333332
1031,0.002,21.816666666666666
1032,0.002,21.8
1033,0.002,21.783333333333335
1034,0.002,21.766666666666666
1035,0.002,21.75
1036,0.002,21.733333333333334
1037,0.002,21.716666666666665
1038,0.002,21.7
1039,0.002,21.683333333333334
1040,7.4,21.666666666666668
1041,0.002,21.65
1042,0.002,21.633333333333333
1043,0.002,21.616666666666667
1044,3.701,21.6
1045,7.4,21.583333333333332
1046,7.4,21.566666666666666
1047,7.4,21.55
1048,7.4,21.533333333333335
1049,7.4,21.516666666666666
1050,0.002,21.5
1051,0.002,21.483333333333334
1052,0.002,21.466666666666665
1053,0.002,21.45
1054,0.002,21.433333333333334
1055,0.002,21.416666666666668
1056,0.002,21.4
1057,0.002,21.383333333333333
1058,0.002,21.366666666666667
1059,0.002,21.35
1060,0.002,21.333333333333332
1061,0.002,21.316666666666666
1062,0.002,21.3
1063,7.4,21.283333333333335
1064,0.002,21.266666666666666
1065,0.002,21.25
1066,0.002,21.233333333333334
1067,3.701,21.216666666666665
1068,7.4,21.2
1069,7.4,21.183333333333334
