Time,LP_ST_799,LP_ST_843,LP_ST_453,LP_ST_912,LP_ST_692,LP_total_load_kW,trafo_Preload_kW,LP_occupancy,trafoLoading_kW
2018-01-03 07:21:00,0.001,0.0,0.0,0.0,0.0,0.001,40.9471,1.0,40.9481
2018-01-03 07:22:00,0.001,0.0,0.0,0.0,0.0,0.001,40.9492,1.0,40.950199999999995
2018-01-03 07:23:00,0.001,0.0,0.0,0.0,0.0,0.001,40.9513,1.0,40.9523
2018-01-03 07:24:00,0.001,0.0,0.0,0.0,0.0,0.001,40.9534,1.0,40.9544
2018-01-03 07:25:00,0.001,0.0,0.0,0.0,0.0,0.001,40.9555,1.0,40.9565
2018-01-03 07:26:00,0.001,0.0,0.0,0.0,0.0,0.001,40.9576,1.0,40.9586
2018-01-03 07:27:00,0.001,0.0,0.0,0.0,0.0,0.001,40.9597,1.0,40.960699999999996
2018-01-03 07:28:00,0.001,0.0,0.0,0.0,0.0,0.001,40.961800000000004,1.0,40.9628
2018-01-03 07:29:00,0.001,0.0,0.0,0.0,0.0,0.001,40.9639,1.0,40.9649
2018-01-03 07:30:00,0.001,0.0,0.0,0.0,0.0,0.001,40.966,1.0,40.967
2018-01-03 07:31:00,0.0,0.0,0.0,0.0,0.0,0.0,40.4561,0.0,40.4561
2018-01-03 07:32:00,0.0,0.0,0.0,0.0,0.0,0.0,39.9462,0.0,39.9462
2018-01-03 07:33:00,0.0,0.0,0.0,0.0,0.0,0.0,39.4363,0.0,39.4363
2018-01-03 07:34:00,0.0,0.0,0.0,0.0,0.0,0.0,38.9264,0.0,38.9264
2018-01-03 07:35:00,0.0,0.0,0.0,0.0,0.0,0.0,38.4165,0.0,38.4165
2018-01-03 07:36:00,0.0,0.0,0.0,0.0,0.0,0.0,37.9066,0.0,37.9066
2018-01-03 07:37:00,0.0,0.0,0.0,0.0,0.0,0.0,37.396699999999996,0.0,37.396699999999996
2018-01-03 07:38:00,0.0,0.0,0.0,0.0,0.0,0.0,36.8868,0.0,36.8868
2018-01-03 07:39:00,0.0,0.0,0.0,0.0,0.0,0.0,36.3769,0.0,36.3769
2018-01-03 07:40:00,0.0,0.0,0.0,0.0,0.0,0.0,35.867,0.0,35.867
2018-01-03 07:41:00,0.0,0.0,0.0,0.0,0.0,0.0,36.130399999999995,0.0,36.130399999999995
2018-01-03 07:42:00,0.0,0.0,0.0,0.0,0.0,0.0,36.3938,0.0,36.3938
2018-01-03 07:43:00,0.0,0.0,0.0,0.0,0.0,0.0,36.657199999999996,0.0,36.657199999999996
2018-01-03 07:44:00,0.0,0.0,0.0,0.0,0.0,0.0,36.9206,0.0,36.9206
2018-01-03 07:45:00,0.0,0.0,0.0,0.0,0.0,0.0,37.184,0.0,37.184
2018-01-03 07:46:00,0.0,0.0,0.0,0.0,0.0,0.0,37.447399999999995,0.0,37.447399999999995
2018-01-03 07:47:00,0.0,0.0,0.0,0.0,0.0,0.0,37.7108,0.0,37.7108
2018-01-03 07:48:00,0.0,0.0,0.0,0.0,0.0,0.0,37.974199999999996,0.0,37.974199999999996
2018-01-03 07:49:00,0.0,0.0,0.0,0.0,0.0,0.0,38.2376,0.0,38.2376
2018-01-03 07:50:00,0.0,0.0,0.0,0.0,0.0,0.0,38.501,0.0,38.501
2018-01-03 07:51:00,0.0,0.0,0.0,0.0,0.0,0.0,38.7847,0.0,38.7847
2018-01-03 07:52:00,0.0,0.0,0.0,0.0,0.0,0.0,39.0684,0.0,39.0684
2018-01-03 07:53:00,0.0,0.0,0.0,0.0,0.0,0.0,39.3521,0.0,39.3521
2018-01-03 07:54:00,0.0,0.0,0.0,0.0,0.0,0.0,39.635799999999996,0.0,39.635799999999996
2018-01-03 07:55:00,0.0,0.0,0.0,0.0,0.0,0.0,39.9195,0.0,39.9195
2018-01-03 07:56:00,0.0,0.0,0.0,0.0,0.0,0.0,40.2032,0.0,40.2032
2018-01-03 07:57:00,0.0,0.0,0.0,0.0,0.0,0.0,40.4869,0.0,40.4869
2018-01-03 07:58:00,0.0,0.0,0.0,0.0,0.0,0.0,40.7706,0.0,40.7706
2018-01-03 07:59:00,0.0,0.0,0.0,0.0,0.0,0.0,41.0543,0.0,41.0543
2018-01-03 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,41.338,0.0,41.338
2018-01-03 08:01:00,0.0,0.0,0.0,0.0,0.0,0.0,41.7018,0.0,41.7018
2018-01-03 08:02:00,0.0,0.0,0.0,0.0,0.0,0.0,42.0656,0.0,42.0656
2018-01-03 08:03:00,0.0,0.0,0.0,0.0,0.0,0.0,42.4294,0.0,42.4294
2018-01-03 08:04:00,0.0,0.0,0.0,0.0,0.0,0.0,42.7932,0.0,42.7932
2018-01-03 08:05:00,0.001,0.0,0.0,0.0,0.0,0.001,43.157,1.0,43.157999999999994
2018-01-03 08:06:00,0.001,0.0,0.0,0.0,0.0,0.001,43.5208,1.0,43.5218
2018-01-03 08:07:00,0.001,0.0,0.0,0.0,0.0,0.001,43.8846,1.0,43.8856
2018-01-03 08:08:00,0.001,0.0,0.0,0.0,0.0,0.001,44.2484,1.0,44.249399999999994
2018-01-03 08:09:00,0.001,0.0,0.0,0.0,0.0,0.001,44.6122,1.0,44.6132
2018-01-03 08:10:00,0.001,0.0,0.0,0.0,0.0,0.001,44.976,1.0,44.977
2018-01-03 08:11:00,0.001,0.0,0.0,0.0,0.0,0.001,45.6157,1.0,45.616699999999994
2018-01-03 08:12:00,0.001,0.0,0.0,0.0,0.0,0.001,46.2554,1.0,46.2564
2018-01-03 08:13:00,0.001,0.0,0.0,0.0,0.0,0.001,46.8951,1.0,46.8961
2018-01-03 08:14:00,0.001,0.0,0.0,0.0,0.0,0.001,47.5348,1.0,47.535799999999995
2018-01-03 08:15:00,0.001,0.0,0.0,0.0,0.0,0.001,48.174499999999995,1.0,48.17549999999999
2018-01-03 08:16:00,0.001,0.0,0.0,0.0,0.0,0.001,48.8142,1.0,48.8152
2018-01-03 08:17:00,0.001,0.0,0.0,0.0,0.0,0.001,49.4539,1.0,49.454899999999995
2018-01-03 08:18:00,0.0,0.0,0.0,0.0,0.0,0.0,50.093599999999995,0.0,50.093599999999995
2018-01-03 08:19:00,0.001,0.001,0.0,0.0,0.0,0.002,50.7333,2.0,50.7353
2018-01-03 08:20:00,0.001,0.001,0.0,0.0,0.0,0.002,51.373,2.0,51.375
2018-01-03 08:21:00,0.001,0.001,0.0,0.0,0.0,0.002,52.1622,2.0,52.1642
2018-01-03 08:22:00,0.001,0.001,0.0,0.0,0.0,0.002,52.9514,2.0,52.9534
2018-01-03 08:23:00,0.001,0.001,0.0,0.0,0.0,0.002,53.7406,2.0,53.7426
2018-01-03 08:24:00,0.001,0.001,0.0,0.0,0.0,0.002,54.5298,2.0,54.531800000000004
2018-01-03 08:25:00,0.001,0.001,0.0,0.0,0.0,0.002,55.319,2.0,55.321000000000005
2018-01-03 08:26:00,0.001,0.001,0.0,0.0,0.0,0.002,56.1082,2.0,56.1102
2018-01-03 08:27:00,0.001,0.001,0.0,0.0,0.0,0.002,56.8974,2.0,56.8994
